,29,30,32
Sunset,915,1075,1295
Mount Pleasant,445,320,320
Riley Park,585,565,545
Downtown,575,425,605
Kitsilano,725,595,680
Dunbar-Southlands,645,840,930
Kerrisdale,285,440,535
Arbutus-Ridge,345,475,650
West Point Grey,335,400,465
Marpole,485,475,705
Oakridge,250,315,415
Shaughnessy,195,250,290
Fairview,405,280,300
South Cambie,195,200,195
West End,280,215,285
Killarney,745,765,900
Renfrew-Collingwood,1080,1110,1455
Hastings-Sunrise,780,785,890
Victoria-Fraserview,640,760,955
Kensington-Cedar Cottage,1240,1100,1340
Strathcona,175,170,195
Grandview-Woodland,530,470,435
